NumMol,RefSite_dif,LAT,LON
3224,1005,48.58392,7.74553
158,1006,48.58392,7.74553
36,1008,48.58392,7.74553
163,1010,50.35,3.53333
24,1012,49.20283,5.07337
25,1012,49.20283,5.07337
28,1012,49.20283,5.07337
30,1012,49.20283,5.07337
293,1012,49.20283,5.07337
201,1014,50.774372,6.084288
251,1015,50.88274,6.23392
1277,1017,48.373154,10.897209
3076,1017,48.373154,10.897209
3137,1017,48.373154,10.897209
3255,1017,48.373154,10.897209
284,1018,48.375208,10.894114
1383,1018,48.375208,10.894114
3110,1019,48.377807,10.894317
8,1021,47.557824,7.589760
112,1021,47.557824,7.589760
154,1021,47.557824,7.589760
177,1021,47.557824,7.589760
1277,1021,47.557824,7.589760
1277,1021,47.557824,7.589760
36,1023,48.03279,7.58294
3134,1023,48.03279,7.58294
56,1024,49.54083,6.25972
120,1024,49.54083,6.25972
207,1024,49.54083,6.25972
251,1024,49.54083,6.25972
333,1024,49.54083,6.25972
1227,1024,49.54083,6.25972
1,1026,49.051790,2.471324
1115,1026,49.051790,2.471324
1,1028,47.25,11.41667
20000,1028,47.25,11.41667
20000,1028,47.25,11.41667
140,1029,49.93333,7.18333
147,1029,49.93333,7.18333
255,1029,49.93333,7.18333
10,1031,50.938090,6.958956
12,1031,50.938090,6.958956
38,1031,50.938090,6.958956
117,1031,50.938090,6.958956
1041,1031,50.938090,6.958956
1195,1031,50.938090,6.958956
3116,1031,50.938090,6.958956
3179,1031,50.938090,6.958956
1398,1032,50.938090,6.958956
2017,1033,50.938090,6.958956
1139,1034,50.938090,6.958956
238,1035,50.938090,6.958956
251,1036,50.938090,6.958956
251,1037,50.938090,6.958956
6,1038,51.33605, 6.678915
68,1039,46.52236,6.635254
119,1039,46.52236,6.635254
154,1039,46.52236,6.635254
94,1040,48.99925,6.2573
94,1040,48.99925,6.2573
118,1040,48.99925,6.2573
137,1040,48.99925,6.2573
172,1040,48.99925,6.2573
195,1040,48.99925,6.2573
240,1040,48.99925,6.2573
251,1040,48.99925,6.2573
302,1040,48.99925,6.2573
315,1040,48.99925,6.2573
1186,1040,48.99925,6.2573
1205,1040,48.99925,6.2573
1470,1040,48.99925,6.2573
2004,1040,48.99925,6.2573
3060,1040,48.99925,6.2573
30000,1040,48.99925,6.2573
79,1041,49.1466,0.22925
113,1042,49.1466,0.22925
151,1043,49.1466,0.22925
261,1044,49.1466,0.22925
1305,1045,49.1466,0.22925
57,1047,49.996147,8.26821
62,1047,49.996147,8.26821
78,1047,49.996147,8.26821
79,1047,49.996147,8.26821
115,1047,49.996147,8.26821
3022,1047,49.996147,8.26821
1038,1048,49.998895,8.263607
53,1049,49.992412,8.25658
1186,1050,49.6275,6.02333
304,1051,49.03651,2.878
270,1053,49.07387,2.67502
135,1054,49.01513,12.10161
172,1054,49.01513,12.10161
1277,1054,49.01513,12.10161
3188,1054,49.01513,12.10161
1,1055,49.25,4.03333
166,1056,49.86056,8.25528
43,1057,50.63695,2.25838
158,1058,50.08258,8.24932
1139,1060,49.75565,6.63935
148,1061,49.75565,6.63935
1110,1062,49.75565,6.63935
38,1063,49.75565,6.63935
45,10635,51.10845, 10.51173
53,10638,49.72099,6.53749
289,10638,49.72099,6.53749
56,10639,49.75565,6.63935
109,10639,49.75565,6.63935
126,10639,49.75565,6.63935
3015,10640,50.29177,6.66963
155,10641,49.595858,6.635538
28,1065,49.75565,6.63935
151,1065,49.75565,6.63935
161,1065,49.75565,6.63935
177,1065,49.75565,6.63935
3046,1065,49.75565,6.63935
80,1067,50.776941,6.084711
83,1067,50.776941,6.084711
26,1068,50.777798,6.086487
200,1069,,
